Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-07-30,2019,7,30,Tuesday,30,2019-30,280.27,280.57,279.1,279.5,978200,264.62,-0.002248966649015527,265.43857142857144,249.87400000000002
2019-07-31,2019,7,31,Wednesday,30,2019-30,279.02,279.72,272.63,275.63,1886900,260.96,-0.013846319382529115,265.3771428571428,250.3802
2019-08-01,2019,8,1,Thursday,30,2019-30,275.75,280.93,274.31,274.57,2634300,259.95,-0.0038457265482017,265.04785714285714,250.8466
2019-08-02,2019,8,2,Friday,30,2019-30,274.3,274.94,270.5,272.5,1969200,257.99,-0.0075388302527598094,264.50142857142856,251.2818
2019-08-05,2019,8,5,Monday,31,2019-31,270.09,270.55,262.71,265.1,3329800,250.99,-0.02715630614240827,263.45,251.5956
2019-08-06,2019,8,6,Tuesday,31,2019-31,266.47,270.23,264.05,269.31,2383000,254.97,0.015880973253878494,262.62142857142857,252.0122
2019-08-07,2019,8,7,Wednesday,31,2019-31,268.18,274.86,263.59,274.3,3037500,259.7,0.018528707605678596,262.0392857142857,252.54219999999998
2019-08-08,2019,8,8,Thursday,31,2019-31,273.04,274.84,271.0,274.8,2046700,260.17,0.0018229596318968255,261.5857142857143,253.188
2019-08-09,2019,8,9,Friday,31,2019-31,274.58,275.47,271.91,273.94,1284300,259.36,-0.0031297428677298234,261.1642857142857,253.8016
2019-08-12,2019,8,12,Monday,32,2019-32,274.03,274.98,269.3,271.31,1638600,256.87,-0.009600500975511461,260.57,254.40240000000003
2019-08-13,2019,8,13,Tuesday,32,2019-32,271.18,278.16,270.01,276.26,1724600,261.55,0.018244919703249263,260.2607142857143,255.0686
2019-08-14,2019,8,14,Wednesday,32,2019-32,274.0,275.36,268.0,268.15,2122100,253.88,-0.02935659317041661,259.47285714285715,255.49539999999996
2019-08-15,2019,8,15,Thursday,32,2019-32,270.53,272.97,268.77,271.52,1623200,257.07,0.01256768773382122,258.8071428571428,255.94160000000002
